SA1,Area,Green Area,%
,,,#DIV/0!
,,,#DIV/0!
2112807,0.098,0,0.00%
2112808,0.081,0,0.00%
2112809,0.113,0,0.00%
2112810,0.12,0,0.00%
2112811,0.062,0,0.00%
2112812,0.078,0,0.00%
2112813,0.128,0,0.00%
2112814,0.07,0,0.00%
2112815,0.051,0,0.00%
2112816,0.083,0,0.00%
2112817,0.067,0,0.00%
2112818,0.059,0,0.00%
2112819,0.085,0,0.00%
2112820,0.101,0,0.00%
2112821,0.079,0,0.00%
2112822,0.102,0,0.00%
2112823,0.076,0,0.00%
2112824,0.1,0,0.00%
2112825,0.073,0,0.00%
2112826,0.111,0,0.00%
2112827,0.054,0,0.00%
2112828,0.065,0,0.00%
2112830,0.019,0,0.00%
2112831,0.07,0,0.00%
2112832,2.194,0,0.00%
2112833,0.047,0,0.00%
2112834,0.038,0,0.00%
2112835,0.018,0,0.00%
2112901,0.044,0,0.00%
2112902,0.071,0,0.00%
2112903,0.056,0,0.00%
2112904,0.098,0,0.00%
2112905,0.085,0,0.00%
2112906,0.03,0,0.00%
2112907,0.072,0,0.00%
2112908,0.071,0,0.00%
2112909,0.049,0,0.00%
2112910,0.055,0,0.00%
2112911,0.061,0,0.00%
2112912,0.029,0,0.00%
2112913,0.095,0,0.00%
2112914,0.054,0,0.00%
2112915,0.052,0,0.00%
2112916,0.072,0,0.00%
2112917,0.181,0,0.00%
2112918,0.082,0,0.00%
2112919,0.065,0,0.00%
2112920,0.04,0,0.00%
2112921,0.045,0,0.00%
2112922,0.13,0,0.00%
2112923,0.048,0,0.00%
2112924,0.057,0,0.00%
2112925,0.074,0,0.00%
2112926,0.052,0,0.00%
2112927,0.045,0,0.00%
2112928,0.056,0,0.00%
2112929,0.04,0,0.00%
2112930,0.051,0,0.00%
2112931,0.055,0,0.00%
2112932,0.054,0,0.00%
2112933,0.043,0,0.00%
2112934,0.105,0,0.00%
2112935,0.083,0,0.00%
2112936,0.09,0,0.00%
2112937,0.038,0,0.00%
2112938,0.051,0,0.00%
2112939,0.069,0,0.00%
2112940,0.066,0,0.00%
2113001,0.03,0,0.00%
2113002,0.135,0,0.00%
2113003,0.112,0,0.00%
2113004,0.072,0,0.00%
2113005,0.056,0,0.00%
2113006,0.113,0,0.00%
2113007,0.075,0,0.00%
2113008,0.08,0,0.00%
2113009,0.085,0,0.00%
2113010,0.031,0,0.00%
2113011,0.078,0,0.00%
2113012,0.068,0,0.00%
2113013,0.15,0,0.00%
2113014,0.1,0,0.00%
2113015,0.175,0,0.00%
2113016,0.082,0,0.00%
2113017,0.063,0,0.00%
2113019,0.065,0,0.00%
2113020,0.113,0,0.00%
2113021,0.046,0,0.00%
2113022,0.026,0,0.00%
2113023,0.137,0,0.00%
2113024,0.123,0,0.00%
2113025,0.05,0,0.00%
2113026,0.069,0,0.00%
2113027,0.064,0,0.00%
2113028,0.192,0,0.00%
2113029,0.081,0,0.00%
2113032,0.067,0,0.00%
2113033,0.018,0,0.00%
2113034,0.03,0,0.00%
2113035,0.029,0,0.00%
2113036,0.04,0,0.00%
2113037,0.028,0,0.00%
2113038,0.087,0,0.00%
2113039,0.083,0,0.00%
2113201,0.107,0,0.00%
2113202,0.064,0,0.00%
2113203,0.062,0,0.00%
2113204,0.058,0,0.00%
2113206,0.047,0,0.00%
2113207,0.058,0,0.00%
2113208,0.09,0,0.00%
2113209,0.071,0,0.00%
2113210,0.062,0,0.00%
2113211,0.044,0,0.00%
2113212,0.141,0,0.00%
2113213,0.117,0,0.00%
2113214,0.072,0,0.00%
2113215,0.083,0,0.00%
2113217,0.037,0,0.00%
2113218,0.006,0,0.00%
2113219,0.012,0,0.00%
2113220,0.006,0,0.00%
2113221,0.006,0,0.00%
2113222,0.05,0,0.00%
2113223,0.061,0,0.00%
2113224,0.066,0,0.00%
2113225,0.062,0,0.00%
2113226,0.054,0,0.00%
2113227,0.058,0,0.00%
2113228,0.046,0,0.00%
2113230,0.058,0,0.00%
2113301,0.034,0,0.00%
2113302,0.033,0,0.00%
2113303,0.029,0,0.00%
2113304,0.099,0,0.00%
2113305,0.062,0,0.00%
2113306,0.147,0,0.00%
2113307,0.053,0,0.00%
2113308,0.071,0,0.00%
2113309,0.19,0,0.00%
2113310,0.039,0,0.00%
2113311,0.067,0,0.00%
2113312,0.046,0,0.00%
2113313,0.036,0,0.00%
2113314,0.122,0,0.00%
2113315,0.046,0,0.00%
2113316,0.074,0,0.00%
2113317,0.037,0,0.00%
