SA1,Area,Green Area
2113314,0.122,0
2113315,0.046,0
2113316,0.074,0
2113317,0.037,0
2113318,0.078,0
2113319,0.395,0
2113320,0.045,0
2113321,0.06,0
2113322,0.068,0
2113323,0.101,0
2113324,0.054,0
2113325,0.117,0
2113326,0.067,0
2113327,0.046,0
2113328,0.138,0
2113329,0.041,0
2113330,0.064,0
2113331,0.086,0
2113332,0.097,0
2113333,0.063,0
2113334,0.041,0
2113335,0.052,0
2113336,0.052,0
2113337,0.089,0
2113338,0.044,0
2113339,0.045,0
2113340,0.039,0
2113341,0.045,0
2113342,0.064,0
2113343,0.05,0
2113344,0.079,0
2113345,0.122,0
2113346,0.044,0
2113347,0.057,0
2113348,0.069,0
2113349,0.044,0
2113350,0.045,0
2113351,0.055,0
2113352,0.056,0
2113353,0.052,0
2113354,0.038,0
2113355,0.079,0
2113356,0.025,0
2113401,0.052,0
2113402,0.036,0
2113403,0.037,0
2113404,0.042,0
2113405,0.054,0
2113406,0.072,0
2113407,0.059,0
2113408,0.059,0
2113409,0.03,0
2113410,0.037,0
2113411,0.15,0
2113412,0.081,0
2113413,0.068,0
2113414,0.071,0
2113415,0.047,0
2113416,0.075,0
2113417,0.039,0
2113418,0.021,0
2113419,0.061,0
2113420,0.046,0
2113421,0.059,0
2113422,0.04,0
2113423,0.181,0
2113424,0.071,0
2113425,0.06,0
2113426,0.07,0
2113427,0.101,0
2113428,0.057,0
2113429,0.043,0
2113430,0.053,0
2113431,0.026,0
2113432,0.079,0
2113433,0.083,0
2113434,0.065,0
2113435,0.079,0
2113436,0.065,0
2113437,0.076,0
2113438,0.053,0
2113439,0.072,0
2113501,0.101,0
2113502,0.149,0
2113503,0.266,0
2113504,0.173,0
2113505,0.112,0
2113506,0.097,0
2113507,0.206,0
2113508,0.098,0
2113509,0.073,0
2113510,0.172,0
2113511,0.099,0
2113512,0.098,0
2113513,0.173,0
2113514,0.064,0
2113515,0.054,0
2113516,0.094,0
2113517,0.089,0
2113518,0.037,0
2113519,0.081,0
2113602,0.103,0
2113603,0.076,0
2113604,0.073,0
2113605,0.071,0
2113606,0.031,0
2113607,0.084,0
2113608,0.091,0
2113609,0.084,0
2113610,0.059,0
2113611,0.065,0
2113612,0.055,0
2113613,0.065,0
2113614,0.045,0
2113615,0.037,0
2113616,0.112,0
2113617,0.071,0
2113618,0.078,0
2113619,0.07,0
2113620,0.036,0
2113621,0.071,0
2113622,0.054,0
2113623,0.062,0
2113624,0.072,0
2113625,0.08,0
2113626,0.099,0
2113627,0.051,0
2113628,0.1,0
2113629,0.122,0
2113630,0.058,0
2113631,0.051,0
2113632,0.068,0
2113633,0.104,0
2113634,0.091,0
2113635,0.062,0
2113636,0.05,0
2113637,0.044,0
2113638,0.101,0
2113639,0.072,0
2113640,0.047,0
2113641,0.123,0
2113642,0.041,0
2113643,0.047,0
2113701,0.151,0
2113702,0.125,0
2113703,0.061,0
2113704,0.122,0
2113705,0.062,0
2113706,0.071,0
2113707,0.077,0
2113708,0.061,0
2113709,0.056,0
2113710,0.094,0
2113711,0.049,0
2113712,0.06,0
2113713,0.051,0
2113714,0.076,0
2113715,0.077,0
2113716,0.116,0
2113718,0.079,0
2113719,0.078,0
2113720,0.128,0
2113721,0.07,0
2113722,0.073,0
2113723,0.098,0
2113724,0.099,0
2113725,0.103,0
2113726,0.048,0
2113727,0.037,0
2113728,0.046,0
2113730,0.087,0
2113731,0.055,0
2113732,0.002,0
2113733,0.092,0
2113734,0.143,0
2113735,0.031,0
2113801,0.085,0
2113802,0.071,0
2113803,0.076,0
2113804,0.265,0
2113805,0.104,0
2113806,0.198,0
2113807,0.07,0
2113808,0.159,0
2113809,0.161,0
2113810,0.141,0
2113811,0.26,0
2113812,0.096,0
2113813,0.106,0
2113814,0.085,0
2113815,0.137,0
2113816,0.107,0
2113817,0.154,0
2113818,0.154,0
2113819,0.133,0
2113820,0.253,0
2113821,0.246,0
2113822,0.164,0
2113823,0.164,0
2113824,0.142,0
2113825,0.108,0
2113826,0.107,0
2113827,0.069,0
2113828,0.128,0
2113829,0.127,0
2113830,0.115,0
2113831,0.119,0
2113832,0.123,0
2113901,0.078,0
2113902,0.262,0
2113903,0.101,0
2113904,0.378,0
2113905,0.115,0
2113906,0.211,0
2113907,0.126,0
2113908,0.13,0
2113909,0.136,0
2113910,0.127,0
2113911,0.116,0
2114001,0.037,0
2114002,0.059,0
2114003,0.047,0
2114004,0.047,0
2114005,0.039,0
2114006,0.057,0
2114007,0.058,0
2114008,0.1,0
2114009,0.082,0
2114010,0.077,5.2885e-06
2114011,0.076,1.73268e-05
2114012,0.109,2.93889e-05
2114013,0.934,0.1621122628
2114014,0.078,0
2114015,0.09,0
2114016,0.085,0
2114017,0.059,0
2114018,0.057,0
2114019,0.069,0
2114020,0.042,0
2114021,0.043,0
2114022,0.056,0
2114023,0.056,0
2114101,0.099,0
2114102,0.065,0
2114103,0.181,1.3094e-05
2114104,0.205,3.39434e-05
2114105,0.066,0
2114106,0.107,0
2114107,0.025,0
2114108,0.025,0
2114109,0.096,0
2114110,0.051,0
2114111,0.135,0
2114112,0.111,0
2114113,0.115,0
2114114,0.017,0
2114201,0.014,0
2114202,0.074,0
2114203,0.019,0
2114204,0.028,0
2114205,0.033,0
2114206,0.088,1.77392e-05
2114207,0.062,6.262e-07
2114208,0.066,0
2114209,0.108,0
2114210,0.074,0
2114211,0.046,0
2114212,0.053,0
2114213,0.053,0
2114214,0.045,0
2114215,0.093,1.51005e-05
2114216,0.078,0
2114217,0.087,0
2114218,0.054,0
2114219,0.064,0
2114220,0.071,0
2114221,0.08,0
2114222,0.051,0
2114223,0.068,0
2114301,0.079,0
2114302,0.085,0
2114303,0.101,0
